SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Contract_ordinal,gender_Male,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
1.0,0.0,0.0,-0.06417112299465241,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.38047215218886093,0.27992874066172496,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,1
0.0,0.0,0.0,-0.5989304812834224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9388035755214303,-0.39710753846879504,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
0.0,1.0,1.0,0.8342245989304813,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.637176254870502,1.6793837736246113,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.1711229946524064,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.37863855145542075,0.5752558841564077,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.44919786096256686,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6133394453357782,1.1157383722828749,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,0.1497326203208556,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4455649782259913,0.6322633547764438,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,-0.5347593582887701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.9268851707540684,-0.3829137232278594,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
1.0,0.0,0.0,-0.32085561497326204,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.3658033463213386,-0.03520878913549076,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
1.0,1.0,1.0,-0.5989304812834224,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.3896401558560624,-0.3884141894613099,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1.0,0.0,0.0,0.9197860962566845,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.7545267018106809,1.9029726464281436,2.0,-1.0,1.0,0.0,0.0,1.0,0.0,0
0.0,1.0,1.0,-0.47058823529411764,-1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,-0.38230575292230123,-0.3140200208263036,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,-0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.924134769653908,-0.3378069974928614,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,0
0.0,1.0,1.0,-0.12834224598930483,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.243868897547559,0.14886090278760433,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,1
0.0,1.0,0.0,0.32085561497326204,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,-0.2970433188173276,0.29114736968140104,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.44919786096256686,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.3520513408205364,0.846723485466941,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0
0.0,1.0,1.0,0.10695187165775401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.924134769653908,-0.20472183822969167,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0
0.0,1.0,1.0,0.0427807486631016,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,-1.0,0.18427687371074944,0.31470213669166547,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,-0.10695187165775401,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.3382993353197342,0.1989311099258743,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,-0.5133689839572193,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.24753609901443963,-0.2794207820385831,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,0
1.0,1.0,0.0,-0.23529411764705882,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.20903048361219345,-0.1092401301825386,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1.0,1.0,0.0,0.7700534759358288,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7022690809076324,1.653057003842344,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,-0.12834224598930483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.9103827641531057,-0.2651544012800558,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,0.0,0.0,-0.5775401069518716,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09259683703873477,-0.35443901412487805,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,1
0.0,1.0,1.0,-0.23529411764705882,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.3190465276186112,0.032828640158483066,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
0.0,1.0,1.0,-0.25668449197860965,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,0.5152418060967224,0.09217272044497174,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1
1.0,1.0,1.0,-0.32085561497326204,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4639009855603942,-0.011929771092074796,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,0
0.0,1.0,1.0,-0.3422459893048128,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8342883337153336,-0.3061974580299188,2.0,-1.0,0.0,1.0,0.0,0.0,0.0,0
0.0,1.0,1.0,-0.0213903743315508,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.22644969057987616,0.2709306164803547,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.6203208556149733,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.8462067384826955,0.010580052464869167,2.0,-1.0,0.0,1.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.6631016042780749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.9149667659867065,-0.08545315351598078,2.0,-1.0,0.0,1.0,0.0,0.0,1.0,0
0.0,1.0,0.0,0.42780748663101603,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,-1.0,-0.38230575292230123,0.29679296695003504,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,-0.5775401069518716,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3648865459546185,-0.35388751619118114,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,1
0.0,0.0,0.0,-0.06417112299465241,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.4648177859271143,0.3157906194555409,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,-0.5561497326203209,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.7444418977767592,-0.3759329204355383,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1.0,0.0,0.0,-0.5561497326203209,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.5381618152647262,-0.3643369507243853,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0.0,1.0,1.0,0.6844919786096256,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8507907403162962,0.04766103195422562,2.0,-1.0,0.0,1.0,0.0,0.0,1.0,0
0.0,0.0,0.0,-0.47058823529411764,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5051570020628008,-0.19575274025535808,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
0.0,1.0,1.0,-0.5989304812834224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.9479715791886318,-0.3972526695039785,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
0.0,1.0,0.0,-0.36363636363636365,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2585377034150813,-0.12408703508179951,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,-0.0855614973262032,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,0.20628008251203303,0.1861740919332542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.5347593582887701,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.3538849415539766,0.9519434859748996,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1.0,1.0,0.0,0.5989304812834224,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.36947054778821925,1.1065951170663213,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,1.0,1.0,-0.40641711229946526,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-0.0843456337382534,-0.21112211688127924,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0
1.0,0.0,0.0,-0.5133689839572193,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09259683703873477,-0.30121946352312845,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,1
0.0,0.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.4675681870272749,-0.04207348709966512,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.6417112299465241,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5308274123309651,1.2296372086948002,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.4919786096256685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.9140499656199864,-0.10578601154517386,1.0,-1.0,0.0,1.0,0.0,0.0,1.0,0
1.0,0.0,0.0,-0.5775401069518716,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07701123080449238,-0.3547002499882081,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
0.0,1.0,1.0,0.8556149732620321,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.3969745587898237,1.4784498554132062,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0
0.0,1.0,0.0,0.1497326203208556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.9259683703873482,-0.2091773610098218,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
0.0,0.0,1.0,-0.2994652406417112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.027504011001604402,-0.11395688882599882,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,-0.5561497326203209,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.37038734815493934,-0.33372881540420807,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,-0.5989304812834224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.45014898005959203,-0.3893720542935203,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,0.3850267379679144,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6087554435021775,0.970404153650227,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,-0.47058823529411764,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08067843227137302,-0.26032153780844886,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,-0.10695187165775401,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2722897089158836,0.0038169462253231493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,1.0,1.0,-0.10695187165775401,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-0.2814577125830851,-0.019607202853276204,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0
1.0,0.0,0.0,-0.5775401069518716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16685766674306662,-0.3460939796018331,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,1
0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.9232179692871878,-0.16909216909216912,2.0,-1.0,0.0,1.0,0.0,0.0,1.0,0
0.0,1.0,1.0,0.3422459893048128,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-0.29062571625028655,0.33853265266877824,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,-0.23529411764705882,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-0.2512033004813203,-0.0907794625072112,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,-0.4919786096256685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.9232179692871878,-0.36483039624400887,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.0,1.0,1.0,-0.6203208556149733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.931469172587669,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.1497326203208556,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6289250515700207,0.7253794269501075,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0
1.0,1.0,0.0,-0.0855614973262032,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.3282145312858126,0.23329813905730137,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.27807486631016043,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6536786614714648,0.907156048517305,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
0.0,1.0,1.0,-0.1925133689839572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3612193444877379,0.11295548468323334,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,0.0,0.0,-0.5561497326203209,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.08342883337153331,-0.3438154223494538,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0
0.0,1.0,1.0,-0.23529411764705882,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8407059362823747,-0.26589456955949103,2.0,-1.0,0.0,1.0,1.0,0.0,0.0,0
0.0,0.0,0.0,-0.5989304812834224,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,-0.2832913133165254,-0.3867306694531826,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.25668449197860965,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6600962640385056,0.8403086937118349,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,-0.5989304812834224,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07334402933761175,-0.3810850721845487,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,1
0.0,1.0,1.0,0.23529411764705882,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.19619527847811147,0.5529202178416839,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,-0.5775401069518716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.0027504011001605448,-0.3622906031282995,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,0
0.0,1.0,1.0,0.0213903743315508,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,-0.3538849415539766,0.050534626450856795,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,1
0.0,0.0,0.0,-0.5775401069518716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.93696997478799,-0.3849890970309819,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,0
0.0,0.0,0.0,-0.4919786096256685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.9223011689204677,-0.3668186914260213,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,0
0.0,1.0,1.0,-0.5989304812834224,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-0.3676369470547788,-0.3880658749768698,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1
1.0,1.0,0.0,0.7914438502673797,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6894338757735503,1.6819380798438388,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,0
0.0,1.0,1.0,-0.0427807486631016,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.843456337382535,-0.18154441191090406,2.0,-1.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,1.0,-0.23529411764705882,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,-0.23928489571395825,-0.11510342400394759,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1.0,1.0,0.0,0.8983957219251337,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.34746733898693566,1.4651993919009627,2.0,-1.0,1.0,0.0,1.0,0.0,0.0,0
0.0,1.0,1.0,-0.12834224598930483,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.27687371074948425,0.13961605584642234,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,-0.42780748663101603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.918633967453587,-0.34927234927234935,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
0.0,0.0,0.0,-0.40641711229946526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9094659637863857,-0.3310148650462787,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,0
0.0,1.0,1.0,0.9197860962566845,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.08984643593857448,1.1879991147006854,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0427807486631016,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,-0.0962640385056154,0.1761600505056002,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,1
1.0,0.0,0.0,-0.32085561497326204,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6298418519367407,0.04179773813281667,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,1
1.0,1.0,0.0,0.8556149732620321,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2640385056154024,1.2766451509907009,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,-0.5989304812834224,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.263121705248682,-0.3780808597562525,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
0.0,1.0,1.0,0.8983957219251337,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.8278707311482926,0.13356409167927488,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0
0.0,1.0,1.0,-0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-0.26678890671556266,-0.08841382663372196,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0
0.0,1.0,0.0,0.6417112299465241,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.793032317212927,1.5017724127671772,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,0.10695187165775401,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-0.2842081136832455,0.14447794552506596,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.8342245989304813,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.11735044694017889,1.0552767830254741,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,1.0,1.0,-0.2994652406417112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.9378867751547101,-0.3217700181050967,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0
0.0,0.0,0.0,-0.5347593582887701,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6445106578042633,-0.27386226339105924,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,1
0.0,1.0,0.0,-0.44919786096256686,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.38413935365574153,-0.2885059848410634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,1.0,0.0,-0.5133689839572193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.008251203300481373,-0.3148762939338856,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,0.5347593582887701,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.34655053862021556,1.010721555224173,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,-0.12834224598930483,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3685537474214989,0.16132765870985766,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,1.0,0.0,0.1711229946524064,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11001604400641761,0.42980556069561304,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,1
0.0,0.0,0.0,-0.40641711229946526,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7261058904423562,-0.09987917841320987,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1.0,1.0,0.0,-0.25668449197860965,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10909924363969752,-0.044700358836484495,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
0.0,1.0,0.0,-0.5561497326203209,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.2695393078157232,-0.35784959345168776,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.0,1.0,1.0,0.9197860962566845,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,0.1925280770112308,1.2662973081821252,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,1.0,0.0,-0.2994652406417112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.9479715791886318,-0.3170967987721915,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
0.0,1.0,1.0,0.5347593582887701,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8517075406830165,-0.04542601401240145,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.9197860962566845,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7380242952097181,1.847314894435313,2.0,-1.0,1.0,0.0,0.0,1.0,0.0,0
1.0,1.0,0.0,0.6203208556149733,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5005730002292,1.181772993291318,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.9259683703873482,-0.2459535653252931,1.0,-1.0,0.0,1.0,0.0,1.0,0.0,0
1.0,0.0,0.0,-0.5775401069518716,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.34838413935365575,-0.35583227206263857,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,1
0.0,0.0,0.0,-0.5561497326203209,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-0.6472610589044235,-0.371085543860413,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,1
1.0,1.0,0.0,-0.0855614973262032,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3401329360531744,0.22932154869327637,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
